Player,height,weight,born,year_start,year_end,position
Mark Radford,76,190,1959,1982,1983,G
Ed Rains,79,190,1956,1982,1983,F
Kurt Rambis,80,212,1958,1982,1995,F
Jeff Ruland,82,238,1958,1982,1993,C
Danny Schayes,83,234,1959,1982,1999,C
Jim Smith,81,225,1958,1982,1983,F
Larry Spriggs,79,229,1959,1982,1986,F
Isiah Thomas,73,179,1961,1982,1994,G
Ray Tolbert,81,225,1958,1982,1989,F
Kelly Tripucka,78,218,1959,1982,1991,F
Elston Turner,77,190,1959,1982,1989,G
Darnell Valentine,73,183,1959,1982,1991,G
Pete Verhoeven,81,214,1959,1982,1987,F
Jay Vincent,79,218,1959,1982,1990,F
Danny Vranes,79,209,1958,1982,1988,F
Buck Williams,80,214,1960,1982,1998,F
Herb Williams,82,240,1958,1982,1999,C
Garry Witts,79,190,1959,1982,1982,G
Al Wood,78,192,1958,1982,1987,G
Howard Wood,79,234,1959,1982,1982,F
Orlando Woolridge,81,214,1959,1982,1994,F
Rich Yonakor,81,218,1958,1982,1982,F
Dwight Anderson,75,183,1960,1983,1983,G
J.J. Anderson,75,183,1960,,,
Richard Anderson,82,238,1960,1983,1990,F
John Bagley,72,183,1960,1983,1994,G
Dave Batton,82,238,1956,1983,1984,C
Lester Conner,76,179,1959,1983,1995,G
Chubby Cox,74,179,1955,1983,1983,G
Terry Cummings,81,218,1961,1983,2000,F
Quintin Dailey,75,179,1961,1983,1992,G
Mark Eaton,88,273,1957,1983,1993,C
Jerry Eaves,76,179,1959,1983,1987,G
Keith Edmonson,77,194,1960,1983,1984,G
Chris Engler,83,245,1959,1983,1988,C
Bruce Flowers,80,225,1957,1983,1983,F
Sleepy Floyd,75,170,1960,1983,1995,G
Bill Garnett,82,218,1940,,,
John Greig,79,214,1961,1983,1983,F
Scott Hastings,82,234,1960,1983,1993,F
Rod Higgins,79,198,1960,1983,1995,F
Craig Hodges,74,190,1960,1983,1992,G
Marc Iavaroni,80,209,1956,1983,1989,F
Jim Johnstone,83,245,1960,1983,1983,C
Hutch Jones,80,190,1959,1983,1984,F
Clark Kellogg,79,225,1961,1983,1987,F
Joe Kopicki,81,238,1960,1983,1985,F
Fat Lever,75,170,1960,1983,1994,G
Cliff Levingston,80,209,1961,1983,1995,F
Steve Lingenfelter,81,225,1958,1983,1984,F
Dave Magley,80,201,1959,1983,1983,F
Mark McNamara,83,234,1959,1983,1991,C
Guy Morgan,80,203,1960,1983,1983,G
Ed Nealy,79,236,1960,1983,1993,F
Chuck Nevitt,89,216,1959,1983,1994,C
Audie Norris,81,229,1960,1983,1985,C
Eddie Phillips,79,225,1961,1983,1983,F
Ricky Pierce,76,203,1959,1983,1998,G
Charles Pittman,80,218,1958,1983,1986,F
Paul Pressey,77,183,1958,1983,1993,G
Oliver Robinson,76,179,1960,1983,1983,G
Walker Russell,77,194,1960,1983,1988,G
Mike Sanders,78,209,1960,1983,1993,F
Russ Schoene,82,209,1960,1983,1989,F
Ed Sherod,74,170,1959,1983,1983,G
Jose Slaughter,77,203,1960,1983,1983,G
Derek Smith,75,179,1920,,,
Brook Steppe,77,194,1959,1983,1989,G
Jeff Taylor,76,174,1960,1983,1987,G
Vince Taylor,77,179,1960,1983,1983,G
Terry Teagle,77,194,1960,1983,1993,F
David Thirdkill,79,194,1960,1983,1987,F
Corny Thompson,80,225,1960,1983,1983,F
LaSalle Thompson,82,245,1961,1983,1997,C
Darren Tillis,83,214,1960,1983,1984,C
Linton Townes,79,190,1959,1983,1985,F
Trent Tucker,77,192,1959,1983,1993,G
Bryan Warrick,77,194,1959,1983,1986,G
Rory White,80,209,1959,1983,1987,F
Dominique Wilkins,79,198,1960,1983,1999,F
Rickey Williams,73,174,1957,1983,1983,G
Rob Williams,75,187,1944,,,
James Worthy,81,225,1961,1983,1994,F
Jim Zoet,85,238,1953,1983,1983,C
Ken Austin,81,203,1961,1984,1984,F
Thurl Bailey,83,214,1961,1984,1999,F
Randy Breuer,87,229,1960,1984,1994,C
Wallace Bryant,84,245,1959,1984,1986,C
Howard Carter,77,214,1961,1984,1985,G
Carlos Clark,76,209,1960,1984,1985,G
Leroy Combs,80,209,1961,1984,1984,F
Russell Cross,82,214,1961,1984,1984,C
Darren Daye,80,218,1960,1984,1988,F
Clyde Drexler,79,209,1962,1984,1998,G
Craig Ehlo,78,179,1961,1984,1997,G
Dale Ellis,79,203,1960,1984,2000,G
Rod Foster,73,159,1960,1984,1986,G
John Garris,80,203,1959,1984,1984,F
Mike Gibson,82,203,1960,1984,1986,F
Stewart Granger,75,190,1961,1984,1987,G
Sidney Green,74,183,1933,,,
Bob Hansen,78,190,1961,1984,1992,G
Derek Harper,76,183,1961,1984,1999,G
Roy Hinson,81,209,1961,1984,1991,F
Charles Jones,81,214,1957,1984,1998,F
Mark Jones,81,225,1953,,,
Greg Kite,83,249,1961,1984,1995,C
Bruce Kuczenski,82,229,1961,1984,1984,F
Darrell Lockhart,81,245,1960,1984,1984,C
Sidney Lowe,72,194,1960,1984,1990,G
Jeff Malone,76,203,1961,1984,1996,G
Pace Mannion,79,190,1960,1984,1989,G
Rodney McCray,79,218,1961,1984,1993,F
Scooter McCray,81,214,1960,1984,1987,F
Larry Micheaux,81,218,1960,1984,1985,F
Bob Miller,82,229,1956,1984,1984,F
John Paxson,74,183,1960,1984,1994,G
John Pinone,80,229,1961,1984,1984,F
Tom Piotrowski,85,238,1960,1984,1984,C
Leo Rautins,80,214,1960,1984,1985,F
Doc Rivers,76,183,1961,1984,1996,G
Fred Roberts,82,216,1960,1984,1997,F
Ralph Sampson,88,227,1960,1984,1992,C
Byron Scott,75,194,1961,1984,1997,G
Steve Stipanovich,83,245,1960,1984,1988,C
Jon Sundvold,74,170,1961,1984,1992,G
Dane Suttle,75,190,1961,1984,1985,G
Jim Thomas,75,190,1960,1984,1991,G
Paul Thompson,78,209,1961,1984,1986,G
Sedale Threatt,74,174,1961,1984,1997,G
Granville Waiters,83,225,1961,1984,1988,C
Darrell Walker,76,179,1961,1984,1993,G
Brant Weidner,81,229,1960,1984,1984,F
Mark West,82,229,1960,1984,2000,C
Ennis Whatley,75,176,1962,1984,1997,G
Mitchell Wiggins,76,183,1959,1984,1992,G
Kevin Williams,74,174,1961,1984,1989,G
Michael Wilson,76,174,1959,1984,1987,G
Randy Wittman,78,209,1959,1984,1992,G
Chuck Aleksinas,83,258,1959,1985,1985,C
Ron Anderson,79,214,1958,1985,1994,F
Ken Bannister,81,234,1960,1985,1991,F
Charles Barkley,78,251,1963,1985,2000,F
Cory Blackwell,78,209,1963,1985,1985,F
Sam Bowie,85,234,1961,1985,1995,C
Frank Brickowski,81,238,1959,1985,1997,F
Tony Brown,78,183,1960,1985,1992,F
Steve Burtt,74,183,1962,1985,1993,G
Michael Cage,81,223,1962,1985,2000,F
Tony Campbell,79,214,1962,1985,1995,F
Rick Carlisle,77,209,1959,1985,1990,G
Antoine Carr,81,225,1961,1985,2000,F
Ron Cavenall,85,229,1959,1985,1989,C
Steve Colter,75,163,1962,1985,1995,G
Devin Durrant,79,198,1960,1985,1986,F
Kenton Edelin,80,203,1962,1985,1985,F
Kenny Fields,77,218,1962,1985,1988,F
Vern Fleming,77,183,1962,1985,1996,G
Lancaster Gordon,75,183,1962,1985,1988,G
Butch Graves,75,198,1962,1985,1985,G
Stuart Gray,84,234,1963,1985,1991,C
Mike Holton,76,183,1961,1985,1990,G
Jay Humphries,75,183,1962,1985,1995,G
Ralph Jackson,74,190,1962,1985,1985,G
Earl Jones,84,209,1961,1985,1986,C
Ozell Jones,83,234,1960,1985,1986,C
Michael Jordan,78,194,1963,1985,2003,G
Jerome Kersey,79,214,1962,1985,2001,F
Tim McCormick,83,238,1962,1985,1992,C
Jay Murphy,81,218,1962,1985,1988,F
Hakeem Olajuwon,84,254,1963,1985,2002,C
Sam Perkins,81,234,1961,1985,2001,F
Jim Petersen,82,234,1962,1985,1992,F
Gary Plummer,81,214,1962,1985,1993,F
David Pope,79,218,1962,1985,1986,F
Alvin Robertson,75,183,1962,1985,1996,G
Wayne Sappleton,81,214,1960,1985,1985,F
Tom Scheffler,83,238,1954,1985,1985,C
John Schweitz,78,209,1960,1985,1987,G
Tom Sewell,77,183,1962,1985,1985,G
Charlie Sitton,80,209,1962,1985,1985,F
Tom Sluby,76,198,1962,1985,1985,G
Terence Stansbury,77,170,1961,1985,1987,G
John Stockton,73,170,1962,1985,2003,G
Peter Thibeaux,79,209,1961,1985,1986,F
Bernard Thompson,78,209,1962,1985,1989,F
Otis Thorpe,81,225,1962,1985,2001,F
Jeff Turner,81,229,1962,1985,1996,F
Melvin Turpin,83,238,1960,1985,1990,C
Willie White,75,194,1962,1985,1986,G
Eddie Lee,75,194,1962,,,
Dale Wilkinson,82,218,1960,1985,1985,F
Guy Williams,74,174,1953,,,
Kevin Willis,74,174,1961,,,
Othell Wilson,72,190,1961,1985,1987,G
Leon Wood,75,183,1962,1985,1991,G
Danny Young,75,174,1962,1985,1995,G
Michael Young,79,218,1961,1985,1990,F
Michael Adams,70,161,1963,1986,1996,G
John Battle,74,174,1962,1986,1995,G
Benoit Benjamin,84,249,1964,1986,2000,C
Uwe Blab,85,251,1962,1986,1990,C
Manute Bol,91,198,1962,1986,1995,C
Mike Brittain,84,234,1963,1986,1987,C
Terry Catledge,80,218,1963,1986,1993,F
Lorenzo Charles,79,225,1963,1986,1986,F
Fred Cofield,75,190,1962,1986,1987,G
David Cooke,80,229,1963,1986,1986,F
Tyrone Corbin,78,209,1962,1986,2001,G
Ron Crevier,84,234,1958,1986,1986,C
Jeff Cross,82,238,1961,1986,1986,F
Joe Dumars,75,190,1963,1986,1999,G
Patrick Ewing,84,238,1962,1986,2002,C
Georgi Glouchkov,80,234,1960,1986,1986,F
A.C. Green,80,234,1960,,,
Ken Green,80,214,1959,1986,1986,F
Kenny Green,80,214,1959,,,
Claude Gregory,80,203,1958,1986,1988,F
Steve Harris,77,194,1963,1986,1990,G
Jerome Henderson,83,229,1959,1986,1987,C
Carl Henry,78,203,1960,1986,1986,G
Alfredrick Hughes,78,203,1960,,,
Ken Johnson,80,238,1962,1986,1986,F
Yvon Joseph,83,245,1957,1986,1986,C
Harold Keeling,76,183,1963,1986,1986,G
Joe Kleine,83,254,1962,1986,2000,C
Jon Koncak,84,249,1963,1986,1996,C
Keith Lee,82,214,1962,1986,1989,F
Karl Malone,81,249,1963,1986,2004,F
Bill Martin,79,203,1962,1986,1988,F
Brian Martin,81,212,1962,1986,1986,F
Dwayne McClain,78,183,1963,1986,1986,G
Xavier McDaniel,79,203,1963,1986,1998,F
Ben McDonald,80,209,1962,1986,1989,F
Chris McNealy,79,209,1961,1986,1988,F
Dirk Minniefield,75,179,1961,1986,1988,G
Perry Moss,74,183,1958,1986,1987,G
Chris Mullin,78,198,1963,1986,2001,F
Charles Oakley,80,225,1963,1986,2004,F
Michael Phelps,76,179,1961,1986,1988,G
Ed Pinckney,81,194,1963,1986,1997,F
Terry Porter,75,194,1963,1986,2002,G
Blair Rasmussen,84,249,1962,1986,1993,C
Jerry Reynolds,80,198,1962,1986,1996,G
Derrick Rowland,77,194,1959,1986,1986,G
Detlef Schrempf,81,214,1963,1986,2001,F
Carey Scurry,79,187,1962,1986,1988,F
Mike Smrek,84,249,1962,1986,1992,C
Alex Stivrins,80,218,1962,1986,1993,F
Greg Stokes,82,218,1963,1986,1990,F
Bob Thornton,82,225,1962,1986,1996,F
Wayman Tisdale,81,238,1964,1986,1997,F
Sedric Toney,74,176,1962,1986,1994,G
Nick Vanos,85,254,1963,1986,1987,C
Sam Vincent,74,183,1963,1986,1992,G
Spud Webb,66,132,1963,1986,1998,G
Bill Wennington,84,245,1963,1986,2000,C
Gerald Wilkins,78,183,1963,1986,1999,G
Pete Williams,79,190,1965,1986,1987,F
Voise Winters,80,198,1962,1986,1986,F
Rafael Addison,79,214,1964,1987,1997,F
Mark Alarie,80,216,1963,1987,1991,F
William Bedford,84,225,1963,1987,1993,C
Walter Berry,80,214,1964,1987,1989,F
Joe Binion,80,234,1961,1987,1987,F
Adrian Branch,79,183,1963,1987,1990,F
Mike Brown,81,256,1963,1987,1997,C
Ben Coleman,81,234,1961,1987,1994,F
Dell Curry,76,190,1964,1987,2002,G
Brad Daugherty,84,245,1965,1987,1994,C
Johnny Dawkins,74,163,1963,1987,1995,G
Bruce Douglas,75,194,1964,1987,1987,G
Greg Dreiling,85,249,1962,1987,1997,C
Kevin Duckworth,84,273,1964,1987,1997,C
Dave Feitl,83,234,1962,1987,1992,C
Kenny Gattison,80,225,1964,1987,1996,F
Grant Gondrezick,77,203,1963,1987,1989,G
Ron Harper,78,183,1964,1987,2001,G
Cedric Henderson,80,209,1965,1987,1987,F
Kevin Henderson,76,194,1964,1987,1988,G
Conner Henry,79,194,1963,1987,1988,G
Jeff Hornacek,75,190,1963,1987,2000,G
Myron Jackson,75,183,1964,1987,1987,G
Buck Johnson,79,190,1964,1987,1993,F
Steffond Johnson,80,218,1944,1987,1987,F
Anthony Jones,78,194,1962,1987,1990,G
Tim Kempton,82,245,1964,1987,1998,F
Curtis Kitchen,81,234,1964,1987,1987,F
Larry Krystkowiak,81,218,1964,1987,1997,F
Jim Lampley,82,229,1960,1987,1987,C
Fernando Martin,81,218,1962,1987,1987,C
Maurice Martin,78,198,1964,1987,1988,F
Forrest McKenzie,79,198,1963,1987,1987,F
Nate McMillan,77,194,1964,1987,1998,G
Cozell McQueen,83,234,1962,1987,1987,F
Pete Myers,78,179,1963,1987,1998,G
Johnny Newman,79,190,1963,1987,2002,F
Dennis Nutt,74,170,1963,1987,1987,G
Chuck Person,80,218,1964,1987,2000,F
Dwayne Polee,77,179,1963,1987,1987,G
Harold Pressley,79,209,1963,1987,1990,F
Mark Price,72,170,1964,1987,1998,G
Dennis Rodman,79,209,1961,1987,2000,F
Johnny Rogers,82,225,1963,1987,1988,F
Ron Rowan,77,198,1962,1987,1987,G
John Salley,83,229,1964,1987,2000,F
Brad Sellers,84,209,1962,1987,1993,C
McKinley Singleton,77,174,1961,1987,1987,G
Scott Skiles,73,179,1964,1987,1996,G
Clinton Smith,78,209,1964,1987,1991,F
Keith Smith,75,170,1965,1987,1987,G
Otis Smith,77,209,1964,1987,1992,G
Roy Tarpley,83,229,1964,1987,1995,C
Billy Thompson,79,194,1963,1987,1992,F
Andre Turner,71,159,1964,1987,1992,G
Kenny Walker,80,209,1964,1987,1995,F
Chris Washburn,83,225,1965,1987,1988,C
Pearl Washington,74,190,1964,1987,1989,G
John Williams,74,183,1951,,,
David Wingate,77,183,1963,1987,2001,G
Brad Wright,83,225,1962,1987,1988,F
Perry Young,77,209,1963,1987,1987,G
Mark Acres,83,218,1962,1988,1993,F
Steve Alford,74,183,1964,1988,1991,G
Greg Anderson,82,229,1964,1988,1998,F
Joe Arlauckas,81,229,1965,1988,1988,F
Vincent Askew,78,209,1966,1988,1998,G
Nate Blackwell,76,170,1965,1988,1988,G
Muggsy Bogues,63,134,1965,1988,2001,G
Norris Coleman,80,209,1961,1988,1988,F
Dallas Comegys,81,203,1964,1988,1989,F
Winston Crite,79,231,1965,1988,1989,F
Billy Donovan,71,170,1965,1988,1988,G
Chris Dudley,74,179,1950,,,
Jim Farmer,76,190,1964,1988,1994,G
Tellis Frank,82,225,1965,1988,1994,F
Kevin Gamble,77,209,1965,1988,1997,F
Winston Garland,74,170,1964,1988,1995,G
Armen Gilliam,81,229,1964,1988,2000,F
Horace Grant,82,214,1965,1988,2004,F
Dave Henderson,77,194,1964,1988,1988,G
Dave Hoppen,83,234,1964,1988,1993,C
Dennis Hopson,77,198,1965,1988,1992,G
Eddie Hughes,70,163,1960,1988,1990,G
Mark Jackson,73,179,1965,1988,2004,G
Michael Jackson,79,214,1949,,,
Kannard Johnson,81,218,1965,1988,1988,F
Kevin Johnson,80,238,1962,,,
Bart Kofoed,76,209,1964,1988,1993,G
Ralph Lewis,78,198,1963,1988,1990,G
Reggie Lewis,79,194,1965,1988,1993,G
Brad Lohaus,83,229,1964,1988,1998,F
Derrick McKey,81,203,1966,1988,2002,F
Reggie Miller,79,183,1965,1988,2005,G
Andre Moore,81,214,1964,1988,1988,F
Ron Moore,84,258,1962,1988,1988,C
Ronnie Murphy,77,225,1964,1988,1988,F
Tod Murphy,81,218,1963,1988,1994,C
Martin Nessley,86,258,1965,1988,1988,C
Ken Norman,80,214,1964,1988,1997,F
Scottie Pippen,80,209,1965,1988,2004,F
Olden Polynice,83,218,1964,1988,2004,C
Richard Rellford,78,229,1964,1988,1988,F
Scott Roth,80,212,1963,1988,1990,F
Brian Rowsom,81,218,1965,1988,1990,F
Kenny Smith,75,170,1965,1988,1997,G
John Stroeder,82,258,1958,1988,1989,F
Mark Wade,71,159,1965,1988,1990,G
Milt Wagner,77,183,1963,1988,1991,G
Jamie Waller,76,214,1964,1988,1988,G
Duane Washington,76,194,1964,1988,1993,G
Chris Welp,84,245,1964,1988,1990,C
Clinton Wheeler,73,183,1959,1988,1989,G
Eric White,80,198,1965,1988,1989,F
Tony White,74,170,1965,1988,1988,G
Reggie Williams,79,190,1964,1988,1997,F
Nikita Wilson,80,198,1964,1988,1988,F
Ricky Wilson,77,198,1956,,,
Rickie Winslow,80,225,1964,1988,1988,F
Joe Wolf,83,229,1964,1988,1999,F
Phil Zevenbergen,82,229,1964,1988,1988,C
Randy Allen,80,218,1965,1989,1990,F
Michael Anderson,71,183,1966,1989,1989,G
Willie Anderson,79,190,1967,1989,1997,G
Ricky Berry,80,203,1964,1989,1989,F
Anthony Bowie,78,190,1963,1989,1998,G
Scott Brooks,71,163,1965,1989,1998,G
Mark Bryant,81,245,1965,1989,2003,F
Greg Butler,83,238,1966,1989,1991,C
Mike Champion,82,229,1964,1989,1989,F
Rex Chapman,76,183,1967,1989,2000,G
Derrick Chievous,79,194,1967,1989,1991,F
Mark Davis,78,194,1963,1989,1989,F
Vinny Del,78,194,1963,,,
Fennis Dembo,77,214,1966,1989,1989,F
Ledell Eackles,77,218,1966,1989,1998,G
Kevin Edwards,75,190,1965,1989,2001,G
Wayne Englestad,80,245,1966,1989,1989,F
Rolando Ferreira,85,238,1964,1989,1989,C
Duane Ferrell,79,207,1965,1989,1999,F
Anthony Frederick,79,203,1964,1989,1992,F
Corey Gaines,75,194,1965,1989,1995,G
Tom Garrick,74,183,1966,1989,1992,G
Ben Gillery,84,234,1965,1989,1989,C
Orlando Graham,80,218,1965,1989,1989,F
Ron Grandison,78,214,1964,1989,1996,F
Gary Grant,75,183,1965,1989,2001,G
Harvey Grant,80,194,1965,1989,1999,F
Sylvester Gray,78,229,1967,1989,1989,F
Jeff Grayer,77,198,1965,1989,1998,F
Jack Haley,82,238,1964,1989,1998,C
Hersey Hawkins,75,190,1966,1989,2001,G
Tito Horford,85,245,1966,1989,1994,C
Avery Johnson,70,174,1965,1989,2004,G
Bill Jones,79,174,1966,1989,1989,F
Shelton Jones,81,209,1966,1989,1989,F
Steve Kerr,75,174,1965,1989,2003,G
Randolph Keys,79,194,1966,1989,1996,F
Jerome Lane,78,229,1966,1989,1993,F
Andrew Lang,83,245,1966,1989,2000,C
Eric Leckner,83,265,1966,1989,1997,C
Jim Les,71,163,1963,1989,1995,G
Rob Lock,81,225,1966,1989,1989,F
Grant Long,80,225,1966,1989,2003,F
Dan Majerle,78,214,1965,1989,2002,G
Danny Manning,82,229,1966,1989,2003,F
Vernon Maxwell,76,179,1965,1989,2001,G
Todd Mitchell,79,203,1966,1989,1989,F
Chris Morris,80,209,1966,1989,1999,F
Richard Morton,75,190,1966,1989,1989,G
Craig Neal,77,163,1964,1989,1991,G
Jose Ortiz,82,225,1963,1989,1990,F
Will Perdue,84,238,1965,1989,2001,C
Tim Perry,81,198,1965,1989,1996,F
Dave Popson,82,218,1964,1989,1992,F
Dominic Pressley,74,170,1964,1989,1989,G
Mitch Richmond,77,214,1965,1989,2002,G
Ramon Rivas,82,258,1966,1989,1989,F
David Rivers,72,170,1965,1989,1992,G
Rob Rose,77,179,1964,1989,1989,G
Jim Rowinski,80,249,1961,1989,1990,F
Rony Seikaly,83,229,1965,1989,1999,C
Charles Shackleford,82,225,1966,1989,1999,F
John Shasky,83,234,1964,1989,1991,C
Brian Shaw,78,190,1966,1989,2003,G
Keith Smart,73,174,1964,1989,1989,G
Charles Smith,82,229,1965,1989,1997,F
Rik Smits,88,249,1966,1989,2000,C
John Starks,75,179,1965,1989,2002,G
Everette Stephens,74,174,1966,1989,1991,G
Rod Strickland,77,198,1940,,,
Barry Sumpter,83,214,1965,1989,1989,F
Anthony Taylor,76,174,1965,1989,1989,G
Tom Tolbert,79,234,1965,1989,1995,F
Kelvin Upshaw,74,179,1963,1989,1991,G
Morlon Wiley,76,183,1966,1989,1995,G
Micheal Williams,74,181,1945,1989,1999,G
David Wood,81,225,1964,1989,1997,F
Nick Anderson,78,203,1968,1990,2002,F
Michael Ansley,79,225,1967,1990,1992,F
B.J. Armstrong,79,225,1967,,,
Dana Barros,71,161,1967,1990,2004,G
Kenny Battle,78,209,1964,1990,1993,F
Winston Bennett,79,209,1965,1990,1992,F
Mookie Blaylock,72,179,1967,1990,2002,G
Chucky Brown,79,214,1968,1990,2002,F
Raymond Brown,80,218,1965,1990,1990,F
Stanley Brundy,78,209,1967,1990,1990,F
Torgeir Bryn,81,249,1964,1990,1990,C
Steve Bucknall,78,214,1966,1990,1990,G
Adrian Caldwell,80,265,1966,1990,1998,F
Lanard Copeland,78,190,1965,1990,1992,G
Terry Davis,81,225,1967,1990,2001,F
Byron Dinkins,73,170,1967,1990,1991,G
Vlade Divac,85,243,1968,1990,2005,C
Sherman Douglas,72,179,1966,1990,2001,G
Terry Dozier,81,209,1966,1990,1990,F
Blue Edwards,76,198,1965,1990,1999,G
Jay Edwards,84,225,1955,,,
Sean Elliott,80,203,1968,1990,2001,F
Pervis Ellison,81,209,1967,1990,2001,F
Derrick Gervin,80,198,1963,1990,1991,F
Greg Grant,67,139,1966,1990,1996,G
Scott Haffner,75,179,1966,1990,1991,G
Tom Hammonds,81,214,1967,1990,2001,F
Tim Hardaway,72,174,1966,1990,2003,G
Mike Higgins,81,218,1967,1990,1991,F
Ed Horton,80,229,1967,1990,1990,F
Byron Irvin,77,190,1966,1990,1993,G
Jaren Jackson,76,190,1967,1990,2002,G
Eric Johnson,74,203,1966,1990,1990,G
Nate Johnston,80,209,1966,1990,1990,F
Shawn Kemp,82,229,1969,1990,2003,F
Stan Kimbrough,71,152,1966,1990,1993,G
Stacey King,83,229,1967,1990,1997,F
Frank Kornet,81,225,1967,1990,1991,F
Jeff Lebo,74,179,1966,1990,1990,G
Tim Legler,76,198,1966,1990,2000,G
Gary Leonard,85,249,1967,1990,1992,C
Clifford Lett,75,170,1965,1990,1991,G
Todd Lichti,76,203,1967,1990,1994,G
Roy Marble,78,190,1966,1990,1994,G
Sarunas Marciulionis,77,198,1964,1990,1997,G
Jeff Martin,77,194,1967,1990,1991,G
Anthony Mason,79,249,1966,1990,2003,F
Bob McCann,78,243,1964,1990,1998,F
Mel McCants,80,238,1967,1990,1990,F
George McCloud,78,203,1967,1990,2002,G
Carlton McKinney,76,190,1964,1990,1992,G
Scott Meents,82,225,1964,1990,1991,F
Sam Mitchell,78,209,1963,1990,2002,F
Mike Morrison,76,194,1967,1990,1990,G
John Morton,75,179,1967,1990,1992,G
Dyron Nix,79,209,1967,1990,1990,F
Zarko Paspalj,81,214,1966,1990,1990,F
Kenny Payne,80,194,1966,1990,1993,F
Drazen Petrovic,77,194,1964,1990,1993,G
Brian Quinnett,80,234,1966,1990,1992,F
J.R. Reid,80,234,1966,,,
Glen Rice,79,214,1967,1990,2004,F
Pooh Richardson,73,179,1966,1990,1999,G
Clifford Robinson,81,218,1960,,,
David Robinson,85,234,1965,1990,2003,C
Doug Roth,83,254,1967,1990,1990,C
Donald Royal,80,209,1966,1990,1998,F
Delaney Rudd,74,179,1962,1990,1993,G
Jeff Sanders,80,225,1966,1990,1993,F
Dexter Shouse,74,198,1963,1990,1990,G
Michael Smith,82,225,1965,1990,1995,F
Jay Taylor,75,190,1967,1990,1990,G
Leonard Taylor,80,218,1966,1990,1990,F
Henry Turner,74,194,1938,,,
Gary Voce,81,238,1965,1990,1990,F
Alexander Volkov,82,216,1964,1990,1992,C
Doug West,78,198,1967,1990,2001,G
Randy White,80,238,1967,1990,1994,F
Mike Williams,74,181,1945,,,
Haywoode Workman,74,179,1966,1990,2000,G
Alaa Abdelnaby,82,238,1968,1991,1995,F
Mahmoud Abdul-Rauf,74,183,1942,,,
Keith Askins,79,196,1967,1991,1999,G
Milos Babic,84,238,1968,1991,1992,C
Cedric Ball,80,209,1968,1991,1991,F
Lance Blanks,76,190,1966,1991,1993,G
Anthony Bonner,80,214,1968,1991,1996,F
Dee Brown,73,159,1968,1991,2002,G
Jud Buechler,78,218,1968,1991,2002,F
Matt Bullard,82,214,1967,1991,2002,F
Willie Burton,80,209,1968,1991,1999,F
Rick Calloway,78,179,1966,1991,1991,F
Elden Campbell,83,214,1968,1991,2005,C
Duane Causwell,84,238,1968,1991,2001,C
Cedric Ceballos,78,190,1969,1991,2001,F
Richard Coffey,78,212,1965,1991,1991,F
Derrick Coleman,82,229,1967,1991,2005,F
Bimbo Coles,73,179,1968,1991,2004,G
Anthony Cook,81,203,1967,1991,1996,F
Tony Dawson,79,214,1967,1991,1995,F
Mario Elie,77,209,1963,1991,2001,G
A.J. English,77,209,1963,,,
Danny Ferry,82,229,1966,1991,2003,F
Greg Foster,83,238,1968,1991,2003,F
Tate George,77,190,1968,1991,1995,G
Kendall Gill,77,194,1968,1991,2005,G
Gerald Glass,77,220,1967,1991,1996,G
Dan Godfread,82,249,1967,1991,1992,C
Jim Grandholm,84,234,1960,1991,1991,F
Tony Harris,75,190,1967,1991,1995,G
Steve Henson,71,176,1968,1991,1999,G
Sean Higgins,81,203,1968,1991,1998,G
Tyrone Hill,81,238,1968,1991,2004,F
Dave Jamerson,77,190,1967,1991,1994,G
Henry James,80,218,1965,1991,1998,F
Les Jepsen,84,236,1967,1991,1992,C
Alec Kessler,83,229,1967,1991,1994,F
Bo Kimble,76,190,1966,1991,1993,G
Negele Knight,73,174,1967,1991,1999,G
Kurk Lee,75,190,1967,1991,1991,G
Marcus Liberty,80,203,1968,1991,1994,F
Ian Lockhart,80,238,1967,1991,1991,F
Tony Massenburg,81,218,1967,1991,2005,F
Travis Mays,74,190,1968,1991,1993,G
Terry Mills,82,229,1967,1991,2001,F
Chris Munk,81,225,1967,1991,1991,F
Jerrod Mustaf,82,236,1969,1991,1994,F
Dan O'Sullivan,82,249,1968,1991,1996,C
Alan Ogg,86,238,1967,1991,1993,C
Brian Oliver,76,209,1968,1991,1998,G
Gerald Paddio,79,203,1965,1991,1994,F
Walter Palmer,85,214,1968,1991,1993,C
Gary Payton,76,179,1968,1991,2007,G
Kevin Pritchard,75,179,1967,1991,1996,G
Larry Robinson,75,179,1968,1991,2002,F
Rumeal Robinson,74,194,1966,1991,1997,G
Steve Scheffler,81,249,1967,1991,1997,C
Dwayne Schintzius,85,258,1968,1991,1999,C
Dennis Scott,80,227,1968,1991,2000,F
Lionel Simmons,79,209,1968,1991,1997,F
Tony Smith,79,209,1968,,,
Felton Spencer,84,265,1968,1991,2002,C
Irving Thomas,80,225,1966,1991,1991,F
Andy Toolson,78,209,1966,1991,1996,G
Loy Vaught,81,229,1968,1991,2001,F
Stojko Vrankovic,86,258,1964,1991,1999,C
Jayson Williams,81,238,1968,1991,1999,F
Kenny Williams,74,174,1961,,,
Scott Williams,82,229,1968,1991,2005,F
Trevor Wilson,79,209,1968,1991,1996,F
Kennard Winchester,77,209,1966,1991,1993,G
Howard Wright,75,183,1947,,,
A.J. Wynder,75,183,1947,,,
