name,year_start,year_end,position,height,height(inches),weight,birth_date,college
Warren Kidd,1994,1994,F,9-Jun,81,235,9-Sep-70,Middle Tennessee State University
Michael Kidd-Gilchrist,2013,2018,F,7-Jun,79,232,26-Sep-93,University of Kentucky
Irv Kiffin,1980,1980,F,9-Jun,81,225,8-Aug-51,Oklahoma Baptist University
Carl Kilpatrick,1980,1980,C,10-Jun,82,230,16-May-56,University of Louisiana at Monroe
Sean Kilpatrick,2015,2018,G,4-Jun,76,210,6-Jan-90,University of Cincinnati
Bo Kimble,1991,1993,G,4-Jun,76,190,9-Apr-66,Loyola Marymount University
Stan Kimbrough,1990,1993,G,11-May,71,153,24-Apr-66,Xavier University
Chad Kinch,1981,1981,G,4-Jun,76,190,22-May-58,University of North Carolina at Charlotte
Albert King,1982,1992,F,6-Jun,78,190,17-Dec-59,University of Maryland
Chris King,1994,1999,F,8-Jun,80,215,24-Jul-69,Wake Forest University
Frankie King,1996,1997,G,1-Jun,73,185,6-Jun-72,Western Carolina University
Gerard King,1999,2001,F,9-Jun,81,230,25-Nov-72,Nicholls State University
Jimmy King,1996,1997,G,5-Jun,77,210,9-Aug-73,University of Michigan
Reggie King,1980,1985,F,6-Jun,78,225,14-Feb-57,University of Alabama
Rich King,1992,1995,C,2-Jul,86,260,4-Apr-69,University of Nebraska
Stacey King,1990,1997,F,11-Jun,83,230,29-Jan-67,University of Oklahoma
Tarence Kinsey,2007,2009,G,6-Jun,78,185,21-Mar-84,University of South Carolina
Andrei Kirilenko,2002,2015,F,9-Jun,81,220,18-Feb-81,
Alex Kirk,2015,2015,C,Jul-00,84,245,14-Nov-91,University of New Mexico
Curtis Kitchen,1987,1987,F,9-Jun,81,235,30-Jan-64,University of South Florida
Greg Kite,1984,1995,C,11-Jun,83,250,5-Aug-61,Brigham Young University
Kerry Kittles,1997,2005,G,5-Jun,77,179,12-Jun-74,Villanova University
Maxi Kleber,2018,2018,F,10-Jun,82,220,29-Jan-92,
Joe Kleine,1986,2000,C,11-Jun,83,255,4-Jan-62,University of Arkansas
Linas Kleiza,2006,2013,F,8-Jun,80,245,3-Jan-85,University of Missouri
Brandin Knight,2005,2005,G,Jun-00,72,180,16-Dec-81,University of Pittsburgh
Brandon Knight,2012,2017,G,3-Jun,75,189,2-Dec-91,University of Kentucky
Brevin Knight,1998,2009,G,10-May,70,173,8-Nov-75,Stanford University
Negele Knight,1991,1999,G,1-Jun,73,175,6-Mar-67,University of Dayton
Travis Knight,1997,2003,C,Jul-00,84,235,13-Sep-74,University of Connecticut
Bart Kofoed,1988,1993,G,4-Jun,76,210,24-Mar-64,University of Nebraska at Kearney
Jon Koncak,1986,1996,C,Jul-00,84,250,17-May-63,Southern Methodist University
Joe Kopicki,1983,1985,F,9-Jun,81,240,12-Jun-60,University of Detroit Mercy
Furkan Korkmaz,2018,2018,G,7-Jun,79,185,24-Jul-97,
Frank Kornet,1990,1991,F,9-Jun,81,225,27-Jan-67,Vanderbilt University
Yaroslav Korolev,2006,2007,F,9-Jun,81,203,7-May-87,
Kyle Korver,2004,2018,G,7-Jun,79,212,17-Mar-81,Creighton University
Kosta Koufos,2009,2018,C,Jul-00,84,265,24-Feb-89,Ohio State University
Arvid Kramer,1980,1980,C,9-Jun,81,220,2-Oct-56,Augustana College (SD)
Viacheslav Kravtsov,2013,2014,C,Jul-00,84,260,25-Aug-87,
Wayne Kreklow,1981,1981,G,4-Jun,76,175,4-Jan-57,Drake University
Nenad Krstic,2005,2011,C,Jul-00,84,240,25-Jul-83,
Larry Krystkowiak,1987,1997,F,9-Jun,81,220,23-Sep-64,University of Montana
Bruce Kuczenski,1984,1984,F,10-Jun,82,230,3-Feb-61,University of Connecticut
Toni Kukoc,1994,2006,F,10-Jun,82,192,18-Sep-68,
Rob Kurz,2009,2009,F,9-Jun,81,232,5-Mar-85,University of Notre Dame
Ibo Kutluay,2005,2005,G,6-Jun,78,200,1-Jul-74,
Kyle Kuzma,2018,2018,F,9-Jun,81,220,24-Jul-95,University of Utah
Ognjen Kuzmic,2014,2015,C,1-Jul,85,251,16-May-90,
Mindaugas Kuzminskas,2017,2018,F,9-Jun,81,215,19-Oct-89,
Skal Labissiere,2017,2018,F,11-Jun,83,225,18-Mar-96,University of Kentucky
Christian Laettner,1993,2005,F,11-Jun,83,235,17-Aug-69,Duke University
Oliver Lafayette,2010,2010,G,2-Jun,74,190,6-May-84,University of Houston
Raef LaFrentz,1999,2008,F,11-Jun,83,240,29-May-76,University of Kansas
Bill Laimbeer,1981,1994,C,11-Jun,83,245,19-May-57,University of Notre Dame
Doron Lamb,2013,2014,G,4-Jun,76,210,6-Nov-91,University of Kentucky
Jeremy Lamb,2013,2018,G,5-Jun,77,185,30-May-92,University of Connecticut
Jeff Lamp,1982,1989,F,6-Jun,78,195,9-Mar-59,University of Virginia
Maciej Lampe,2004,2006,C,11-Jun,83,275,5-Feb-85,
Jim Lampley,1987,1987,C,10-Jun,82,230,2-Jul-60,University of Arkansas at Little Rock
Sean Lampley,2003,2004,F,7-Jun,79,227,3-Sep-79,University of California
Carl Landry,2008,2016,F,9-Jun,81,248,19-Sep-83,Purdue University
Marcus Landry,2010,2010,F,7-Jun,79,230,1-Nov-85,University of Wisconsin
Jerome Lane,1989,1993,F,6-Jun,78,230,4-Dec-66,University of Pittsburgh
Andrew Lang,1989,2000,C,11-Jun,83,245,28-Jun-66,University of Arkansas
Antonio Lang,1995,2000,F,8-Jun,80,205,15-May-72,Duke University
James Lang,2007,2007,C,10-Jun,82,285,17-Oct-83,
Trajan Langdon,2000,2002,G,3-Jun,75,197,13-May-76,Duke University
Keith Langford,2008,2008,G,4-Jun,76,215,15-Sep-83,University of Kansas
Dan Langhi,2001,2004,F,11-Jun,83,220,28-Nov-77,Vanderbilt University
Nicolas Laprovittola,2017,2017,G,4-Jun,76,180,31-Jan-90,
Shane Larkin,2014,2018,G,11-May,71,175,2-Oct-92,University of Miami
Rusty LaRue,1998,2004,G,2-Jun,74,210,10-Dec-73,Wake Forest University
Stephane Lasme,2008,2008,F,8-Jun,80,215,17-Dec-82,University of Massachusetts Amherst
Priest Lauderdale,1997,1998,C,4-Jul,88,325,31-Aug-73,Central State University
Joffrey Lauvergne,2015,2018,C,11-Jun,83,220,30-Sep-91,
Zach LaVine,2015,2017,G,5-Jun,77,189,10-Mar-95,"University of California, Los Angeles"
Acie Law,2008,2011,G,3-Jun,75,195,25-Jan-85,Texas A&M University
Gani Lawal,2011,2011,F,9-Jun,81,234,7-Nov-88,Georgia Institute of Technology
Edmund Lawrence,1981,1981,C,Jul-00,84,228,8-Dec-52,McNeese State University
Jason Lawson,1998,1998,C,11-Jun,83,240,2-Sep-74,Villanova University
Ty Lawson,2010,2017,G,11-May,71,195,3-Nov-87,University of North Carolina
Jake Layman,2017,2018,F,9-Jun,81,210,7-Mar-94,University of Maryland
T.J. Leaf,2018,2018,F,10-Jun,82,222,30-Apr-97,"University of California, Los Angeles"
Allen Leavell,1980,1989,G,1-Jun,73,170,27-May-57,Oklahoma City University
Jeff Lebo,1990,1990,G,2-Jun,74,180,5-Oct-66,University of North Carolina
Eric Leckner,1989,1997,C,11-Jun,83,265,27-May-66,University of Wyoming
Ricky Ledo,2014,2015,G,7-Jun,79,195,10-Sep-92,
Courtney Lee,2009,2018,G,5-Jun,77,200,3-Oct-85,Western Kentucky University
David Lee,2006,2017,F,9-Jun,81,245,29-Apr-83,University of Florida
Doug Lee,1992,1995,G,5-Jun,77,200,24-Oct-64,Purdue University
Keith Lee,1986,1989,F,10-Jun,82,215,28-Dec-62,University of Memphis
Kurk Lee,1991,1991,G,3-Jun,75,190,3-Jun-67,Towson University
Malcolm Lee,2012,2015,G,5-Jun,77,200,22-May-90,"University of California, Los Angeles"
Rock Lee,1982,1982,C,10-Jun,82,220,1-May-55,San Diego State University
Tim Legler,1990,2000,G,4-Jun,76,200,26-Dec-66,La Salle University
Alex Len,2014,2018,C,1-Jul,85,260,16-Jun-93,University of Maryland
Voshon Lenard,1996,2006,G,4-Jun,76,205,14-May-73,University of Minnesota
Gary Leonard,1990,1992,C,1-Jul,85,250,16-Feb-67,University of Missouri
Kawhi Leonard,2012,2018,F,7-Jun,79,230,29-Jun-91,San Diego State University
Meyers Leonard,2013,2018,C,1-Jul,85,245,27-Feb-92,University of Illinois at Urbana-Champaign
Jim Les,1989,1995,G,11-May,71,165,18-Aug-63,Bradley University
Travis Leslie,2012,2012,G,4-Jun,76,205,29-Mar-90,University of Georgia
Ronnie Lester,1981,1986,G,2-Jun,74,175,1-Jan-59,University of Iowa
Clifford Lett,1990,1991,G,3-Jun,75,170,23-Dec-65,University of Florida
Jon Leuer,2012,2018,F,10-Jun,82,228,14-May-89,University of Wisconsin
Fat Lever,1983,1994,G,3-Jun,75,170,18-Aug-60,Arizona State University
Caris LeVert,2017,2018,G,7-Jun,79,203,25-Aug-94,University of Michigan
Cliff Levingston,1983,1995,F,8-Jun,80,210,4-Jan-61,Wichita State University
Cedric Lewis,1996,1996,F,10-Jun,82,235,24-Sep-69,University of Maryland
Martin Lewis,1996,1997,F,5-Jun,77,210,28-Apr-75,Seward County Community College
Quincy Lewis,2000,2004,F,7-Jun,79,215,26-Jun-77,University of Minnesota
Ralph Lewis,1988,1990,G,6-Jun,78,200,28-Mar-63,La Salle University
Rashard Lewis,1999,2014,F,10-Jun,82,215,8-Aug-79,
Reggie Lewis,1988,1993,G,7-Jun,79,195,21-Nov-65,Northeastern University
Marcus Liberty,1991,1994,F,8-Jun,80,205,27-Oct-68,University of Illinois at Urbana-Champaign
Todd Lichti,1990,1994,G,4-Jun,76,205,8-Jan-67,Stanford University
DeAndre Liggins,2012,2018,G,6-Jun,78,209,31-Mar-88,University of Kentucky
Damian Lillard,2013,2018,G,3-Jun,75,195,15-Jul-90,Weber State University
Jeremy Lin,2011,2018,G,3-Jun,75,200,23-Aug-88,Harvard University
Steve Lingenfelter,1983,1984,F,9-Jun,81,225,10-Jun-58,South Dakota State University
Alton Lister,1982,1998,C,Jul-00,84,240,1-Oct-58,Arizona State University
Randy Livingston,1997,2007,G,4-Jun,76,209,2-Apr-75,Louisiana State University
Shaun Livingston,2005,2018,G,7-Jun,79,192,11-Sep-85,
Horacio Llamas Grey,1997,1998,C,11-Jun,83,285,17-Jul-73,Grand Canyon University
Lewis Lloyd,1982,1990,G,6-Jun,78,205,22-Feb-59,Drake University
Rob Lock,1989,1989,F,9-Jun,81,225,22-May-66,University of Kentucky
Darrell Lockhart,1984,1984,C,9-Jun,81,245,14-Sep-60,Auburn University
Ian Lockhart,1991,1991,F,8-Jun,80,240,25-Jun-67,University of Tennessee
Kevin Loder,1982,1984,F,6-Jun,78,205,15-Mar-59,Alabama State University
Brad Lohaus,1988,1998,F,11-Jun,83,230,29-Sep-64,University of Iowa
Art Long,2001,2003,F,9-Jun,81,250,1-Oct-72,University of Cincinnati
Grant Long,1989,2003,F,8-Jun,80,225,12-Mar-66,Eastern Michigan University
Shawn Long,2017,2017,C,9-Jun,81,255,29-Jan-93,University of Louisiana at Lafayette
Luc Longley,1992,2001,C,2-Jul,86,265,19-Jan-69,University of New Mexico
Kevon Looney,2016,2018,F,9-Jun,81,220,6-Feb-96,"University of California, Los Angeles"
Brook Lopez,2009,2018,C,Jul-00,84,275,1-Apr-88,Stanford University
Felipe Lopez,1999,2002,G,5-Jun,77,199,19-Dec-74,St. John's University
Raul Lopez,2004,2005,G,1-Jun,73,170,15-Apr-80,
Robin Lopez,2009,2018,C,Jul-00,84,255,1-Apr-88,Stanford University
Ryan Lorthridge,1995,1995,G,4-Jun,76,190,27-Jul-72,Jackson State University
Kevin Love,2009,2018,F,10-Jun,82,251,7-Sep-88,"University of California, Los Angeles"
Sidney Lowe,1984,1990,G,Jun-00,72,195,21-Jan-60,North Carolina State University
Kyle Lowry,2007,2018,G,Jun-00,72,205,25-Mar-86,Villanova University
Kalin Lucas,2015,2015,G,1-Jun,73,195,24-May-89,Michigan State University
John Lucas III,2006,2017,G,11-May,71,166,21-Nov-82,Oklahoma State University
Tyronn Lue,1999,2009,G,Jun-00,72,175,3-May-77,University of Nebraska
Timothe Luwawu-Cabarrot,2017,2018,F,6-Jun,78,205,9-May-95,
Tyler Lydon,2018,2018,F,10-Jun,82,215,9-Apr-96,Syracuse University
Trey Lyles,2016,2018,F,10-Jun,82,234,5-Nov-95,University of Kentucky
George Lynch,1994,2005,F,8-Jun,80,218,3-Sep-70,University of North Carolina
Kevin Lynch,1992,1993,G,5-Jun,77,195,24-Dec-68,University of Minnesota
Sheldon Mac,2017,2017,G,5-Jun,77,200,21-Dec-92,University of Miami
Todd MacCulloch,2000,2003,C,Jul-00,84,280,27-Jan-76,University of Washington
Scott Machado,2013,2013,G,1-Jun,73,205,8-Jun-90,Iona College
Arvydas Macijauskas,2006,2006,G,4-Jun,76,214,19-Jan-80,
Ollie Mack,1980,1982,G,3-Jun,75,185,6-Jun-57,East Carolina University
Sam Mack,1993,2002,F,7-Jun,79,220,26-May-70,University of Houston
Shelvin Mack,2012,2018,G,3-Jun,75,203,22-Apr-90,Butler University
Malcolm Mackey,1994,1994,F,9-Jun,81,248,11-Jul-70,Georgia Institute of Technology
Rudy Macklin,1982,1984,F,7-Jun,79,205,19-Feb-58,Louisiana State University
Vernon Macklin,2012,2012,F,10-Jun,82,227,20-Sep-86,University of Florida
Don MacLean,1993,2001,F,10-Jun,82,235,16-Jan-70,"University of California, Los Angeles"
Mark Macon,1992,1999,G,5-Jun,77,185,14-Apr-69,Temple University
Kyle Macy,1981,1987,G,3-Jun,75,175,9-Apr-57,University of Kentucky
Tito Maddox,2003,2003,G,4-Jun,76,190,7-Jun-81,"California State University, Fresno"
Gerald Madkins,1994,1998,G,4-Jun,76,200,18-Apr-69,"University of California, Los Angeles"
Mark Madsen,2001,2009,F,9-Jun,81,240,28-Jan-76,Stanford University
Josh Magette,2018,2018,G,1-Jun,73,160,28-Nov-89,Alabama - Huntsville
Corey Maggette,2000,2013,F,6-Jun,78,218,12-Nov-79,Duke University
Dave Magley,1983,1983,F,8-Jun,80,202,24-Nov-59,University of Kansas
Jamaal Magloire,2001,2012,C,11-Jun,83,259,21-May-78,University of Kentucky
Ian Mahinmi,2008,2018,C,11-Jun,83,250,5-Nov-86,
Rick Mahorn,1981,1999,C,10-Jun,82,240,21-Sep-58,Hampton University
Dan Majerle,1989,2002,G,6-Jun,78,215,9-Sep-65,Central Michigan University
Renaldo Major,2007,2007,F,7-Jun,79,200,7-May-82,"California State University, Fresno"
Thon Maker,2017,2018,F,1-Jul,85,216,25-Feb-97,
Jeff Malone,1984,1996,G,4-Jun,76,205,28-Jun-61,Mississippi State University
Karl Malone,1986,2004,F,9-Jun,81,250,24-Jul-63,Louisiana Tech University
Matt Maloney,1997,2003,G,3-Jun,75,192,6-Dec-71,University of Pennsylvania
Steve Malovic,1980,1980,F,10-Jun,82,230,21-Jul-56,San Diego State University
Danny Manning,1989,2003,F,10-Jun,82,230,17-May-66,University of Kansas
Rich Manning,1996,1997,C,11-Jun,83,253,23-Jun-70,University of Washington
Pace Mannion,1984,1989,G,7-Jun,79,190,22-Sep-60,University of Utah
Devyn Marble,2015,2016,G,6-Jun,78,200,21-Sep-92,University of Iowa
Roy Marble,1990,1994,G,6-Jun,78,190,13-Dec-66,University of Iowa
Stephon Marbury,1997,2009,G,2-Jun,74,180,20-Feb-77,Georgia Institute of Technology
Sarunas Marciulionis,1990,1997,G,5-Jun,77,200,13-Jun-64,
Shawn Marion,2000,2015,F,7-Jun,79,220,7-May-78,"University of Nevada, Las Vegas"
Boban Marjanovic,2016,2018,C,3-Jul,87,290,15-Aug-88,
Lauri Markkanen,2018,2018,F,Jul-00,84,230,22-May-97,University of Arizona
Damir Markota,2007,2007,C,10-Jun,82,225,26-Dec-85,
Sean Marks,1999,2011,F,10-Jun,82,250,23-Aug-75,University of California
Donny Marshall,1996,2003,F,7-Jun,79,230,17-Jul-72,University of Connecticut
Donyell Marshall,1995,2009,F,9-Jun,81,218,18-May-73,University of Connecticut
Kendall Marshall,2013,2016,G,4-Jun,76,200,19-Aug-91,University of North Carolina
Rawle Marshall,2006,2007,G,9-Jun,81,190,20-Feb-82,Oakland University
Bill Martin,1986,1988,F,7-Jun,79,205,16-Aug-62,Georgetown University
Bob Martin,1994,1995,C,Jul-00,84,250,7-Oct-69,University of Minnesota
Brian Martin,1986,1986,F,9-Jun,81,212,18-Aug-62,University of Kansas
Cartier Martin,2009,2015,F,7-Jun,79,220,20-Nov-84,Kansas State University
Cuonzo Martin,1996,1997,G,5-Jun,77,213,23-Sep-71,Purdue University
Darrick Martin,1995,2008,G,11-May,71,170,6-Mar-71,"University of California, Los Angeles"
Fernando Martin,1987,1987,C,9-Jun,81,220,25-Mar-62,
Jarell Martin,2016,2018,F,10-Jun,82,239,24-May-94,Louisiana State University
Jeff Martin,1990,1991,G,5-Jun,77,195,14-Jan-67,Murray State University
Kenyon Martin,2001,2015,F,9-Jun,81,234,30-Dec-77,University of Cincinnati
Kevin Martin,2005,2016,G,7-Jun,79,199,1-Feb-83,Western Carolina University
Maurice Martin,1987,1988,F,6-Jun,78,200,2-Jul-64,Saint Joseph's University
Jamal Mashburn,1994,2004,F,8-Jun,80,240,29-Nov-72,University of Kentucky
Anthony Mason,1990,2003,F,7-Jun,79,250,14-Dec-66,Tennessee State University
Desmond Mason,2001,2010,F,7-Jun,79,224,11-Oct-77,Oklahoma State University
Frank Mason,2018,2018,G,Jun-00,72,189,3-Apr-94,University of Kansas
Roger Mason,2003,2014,G,5-Jun,77,200,10-Sep-80,University of Virginia
Tony Massenburg,1991,2005,F,9-Jun,81,220,31-Jul-67,University of Maryland
Mangok Mathiang,2018,2018,C,10-Jun,82,230,8-Oct-92,University of Louisville
Wes Matthews,1981,1990,G,1-Jun,73,170,24-Aug-59,University of Wisconsin
Wesley Matthews,2010,2018,G,5-Jun,77,220,14-Oct-86,Marquette University
Marlon Maxey,1993,1994,F,8-Jun,80,250,19-Feb-69,University of Texas at El Paso
Jason Maxiell,2006,2015,F,7-Jun,79,260,18-Feb-83,University of Cincinnati
Vernon Maxwell,1989,2001,G,4-Jun,76,180,12-Sep-65,University of Florida
Sean May,2006,2010,F,9-Jun,81,266,4-Apr-84,University of North Carolina
Lee Mayberry,1993,1999,G,1-Jun,73,172,12-Jun-70,University of Arkansas
Tharon Mayes,1992,1992,G,3-Jun,75,175,9-Sep-68,Florida State University
Bill Mayfield,1981,1981,F,7-Jun,79,205,17-Oct-57,University of Iowa
Eric Maynor,2010,2014,G,3-Jun,75,175,11-Jun-87,Virginia Commonwealth University
O.J. Mayo,2009,2016,G,5-Jun,77,210,5-Nov-87,University of Southern California
Travis Mays,1991,1993,G,2-Jun,74,190,19-Jun-68,University of Texas at Austin
Luc Mbah a Moute,2009,2018,F,8-Jun,80,230,9-Sep-86,"University of California, Los Angeles"
James Michael McAdoo,2015,2018,F,9-Jun,81,230,4-Jan-93,University of North Carolina
Ray McCallum,2014,2016,G,3-Jun,75,190,12-Jun-91,University of Detroit Mercy
Bob McCann,1990,1998,F,6-Jun,78,244,22-Apr-64,Morehead State University
Mel McCants,1990,1990,F,8-Jun,80,240,19-Aug-67,Purdue University
Rashad McCants,2006,2009,G,4-Jun,76,207,25-Sep-84,University of North Carolina
Kelly McCarty,1999,1999,G,7-Jun,79,200,24-Aug-75,University of Southern Mississippi
Walter McCarty,1997,2006,F,10-Jun,82,230,1-Feb-74,University of Kentucky
Amal McCaskill,1997,2004,F,11-Jun,83,235,28-Oct-73,Marquette University
Patrick McCaw,2017,2018,G,7-Jun,79,185,25-Oct-95,"University of Nevada, Las Vegas"
Dwayne McClain,1986,1986,G,6-Jun,78,185,7-Feb-63,Villanova University
Dan McClintock,2001,2001,C,Jul-00,84,270,19-Apr-77,Northern Arizona University
George McCloud,1990,2002,G,6-Jun,78,205,27-May-67,Florida State University
C.J. McCollum,2014,2018,G,3-Jun,75,190,19-Sep-91,Lehigh University
T.J. McConnell,2016,2018,G,2-Jun,74,200,25-Mar-92,University of Arizona
Keith McCord,1981,1981,G,7-Jun,79,210,22-Jun-57,University of Alabama at Birmingham
Tim McCormick,1985,1992,C,11-Jun,83,240,10-Mar-62,University of Michigan
Jelani McCoy,1999,2008,C,10-Jun,82,245,6-Dec-77,"University of California, Los Angeles"
Chris McCray,2007,2007,G,5-Jun,77,192,27-May-84,University of Maryland
Rodney McCray,1984,1993,F,7-Jun,79,220,29-Aug-61,University of Louisville
Scooter McCray,1984,1987,F,9-Jun,81,215,8-Feb-60,University of Louisville
Chris McCullough,2016,2018,F,11-Jun,83,200,5-Feb-95,Syracuse University
John McCullough,1982,1982,G,4-Jun,76,190,5-Oct-56,University of Oklahoma
Clint McDaniel,1996,1996,G,4-Jun,76,180,26-Feb-72,University of Arkansas
Xavier McDaniel,1986,1998,F,7-Jun,79,205,4-Jun-63,Wichita State University
K.J. McDaniels,2015,2017,G,6-Jun,78,205,9-Feb-93,Clemson University
Doug McDermott,2015,2018,F,8-Jun,80,225,3-Jan-92,Creighton University
Ben McDonald,1986,1989,F,8-Jun,80,210,20-Jul-62,"University of California, Irvine"
Michael McDonald,1998,1998,C,10-Jun,82,232,13-Feb-69,University of New Orleans
Hank McDowell,1982,1987,F,9-Jun,81,215,13-Nov-59,University of Memphis
Antonio McDyess,1996,2011,F,9-Jun,81,220,7-Sep-74,University of Alabama
Ivan McFarlin,2007,2007,F,8-Jun,80,240,26-Apr-82,Oklahoma State University
Mitch McGary,2015,2016,F,10-Jun,82,255,6-Jun-92,University of Michigan
JaVale McGee,2009,2018,C,Jul-00,84,270,19-Jan-88,"University of Nevada, Reno"
Mike McGee,1982,1990,G,5-Jun,77,190,29-Jul-59,University of Michigan
Tracy McGrady,1998,2012,F,8-Jun,80,210,24-May-79,
Rodney McGruder,2017,2017,G,4-Jun,76,205,29-Jul-91,Kansas State University
Dominic McGuire,2008,2013,F,9-Jun,81,220,20-Oct-85,"California State University, Fresno"
Kevin McHale,1981,1993,F,10-Jun,82,210,19-Dec-57,University of Minnesota
Jim McIlvaine,1995,2001,C,1-Jul,85,240,30-Jul-72,Marquette University
Jeff McInnis,1997,2008,G,4-Jun,76,190,22-Oct-74,University of North Carolina
Kevin McKenna,1982,1988,G,5-Jun,77,195,8-Jan-59,Creighton University
Forrest McKenzie,1987,1987,F,7-Jun,79,200,16-Feb-63,Loyola Marymount University
Derrick McKey,1988,2002,F,9-Jun,81,205,10-Oct-66,University of Alabama
Aaron McKie,1995,2007,G,5-Jun,77,209,2-Oct-72,Temple University
Carlton McKinney,1990,1992,G,4-Jun,76,190,21-Oct-64,Southern Methodist University
Alfonzo McKinnie,2018,2018,F,8-Jun,80,215,17-Sep-92,University of Wisconsin-Green Bay
Ben McLemore,2014,2018,G,5-Jun,77,195,11-Feb-93,University of Kansas
Keith McLeod,2004,2007,G,2-Jun,74,188,5-Nov-79,Bowling Green State University
Roshown McLeod,1999,2001,F,8-Jun,80,221,17-Nov-75,Duke University
Nate McMillan,1987,1998,G,5-Jun,77,195,3-Aug-64,North Carolina State University
Mark McNamara,1983,1991,C,11-Jun,83,235,8-Jun-59,University of California
Jerel McNeal,2015,2015,G,3-Jun,75,200,1-Jun-87,Marquette University
Chris McNealy,1986,1988,F,7-Jun,79,210,15-Jul-61,San Jose State University
Paul McPherson,2001,2001,G,4-Jun,76,210,3-Jul-78,DePaul University
Cozell McQueen,1987,1987,F,11-Jun,83,235,18-Jan-62,North Carolina State University
Jordan McRae,2016,2017,G,6-Jun,78,185,28-Mar-91,University of Tennessee
Josh McRoberts,2008,2017,F,10-Jun,82,240,28-Feb-87,Duke University
Stanislav Medvedenko,2001,2007,F,10-Jun,82,250,4-Apr-79,
Darnell Mee,1994,1995,G,5-Jun,77,175,11-Feb-71,Western Kentucky University
Jodie Meeks,2010,2018,G,4-Jun,76,210,21-Aug-87,University of Kentucky
Scott Meents,1990,1991,F,10-Jun,82,225,4-Jan-64,University of Illinois at Urbana-Champaign
Salah Mejri,2016,2018,C,1-Jul,85,245,15-Jun-86,
Gal Mekel,2014,2015,G,3-Jun,75,191,4-Mar-88,Wichita State University
Fab Melo,2013,2013,C,Jul-00,84,255,20-Jun-90,Syracuse University
Pops Mensah-Bonsu,2007,2011,F,9-Jun,81,240,7-Sep-83,George Washington University
Ron Mercer,1998,2005,G,7-Jun,79,210,18-May-76,University of Kentucky
Loren Meyer,1996,1999,C,10-Jun,82,257,30-Dec-72,Iowa State University
Larry Micheaux,1984,1985,F,9-Jun,81,220,24-Mar-60,University of Houston
Jordan Mickey,2016,2018,F,8-Jun,80,235,9-Jul-94,Louisiana State University
Khris Middleton,2013,2018,F,8-Jun,80,234,12-Aug-91,Texas A&M University
Chris Mihm,2001,2009,C,Jul-00,84,265,16-Jul-79,University of Texas at Austin
Aaron Miles,2006,2006,G,1-Jun,73,175,13-Apr-83,University of Kansas
C.J. Miles,2006,2018,G,6-Jun,78,225,18-Apr-87,
Darius Miles,2001,2009,F,9-Jun,81,210,9-Oct-81,
Marko Milic,1998,1999,G,6-Jun,78,235,7-May-77,
Darko Milicic,2004,2013,F,Jul-00,84,250,20-Jun-85,
Andre Miller,2000,2016,G,3-Jun,75,200,19-Mar-76,University of Utah
Anthony Miller,1995,2005,F,9-Jun,81,225,22-Oct-71,Michigan State University
Bob Miller,1984,1984,F,10-Jun,82,230,9-Jul-56,University of Cincinnati
Brad Miller,1999,2012,C,11-Jun,83,244,12-Apr-76,Purdue University
Darius Miller,2013,2018,F,8-Jun,80,235,21-Mar-90,University of Kentucky
Dick Miller,1981,1981,F,6-Jun,78,215,26-Apr-58,University of Toledo
Malcolm Miller,2018,2018,F,7-Jun,79,210,6-Mar-93,College of the Holy Cross
Mike Miller,2001,2017,F,8-Jun,80,218,19-Feb-80,University of Florida
Oliver Miller,1993,2004,C,9-Jun,81,280,6-Apr-70,University of Arkansas
Quincy Miller,2013,2015,F,9-Jun,81,210,18-Nov-92,Baylor University
Reggie Miller,1988,2005,G,7-Jun,79,185,24-Aug-65,"University of California, Los Angeles"
Chris Mills,1994,2003,F,6-Jun,78,215,25-Jan-70,University of Arizona
Patty Mills,2010,2018,G,Jun-00,72,185,11-Aug-88,Saint Mary's College of California
Terry Mills,1991,2001,F,10-Jun,82,230,21-Dec-67,University of Michigan
Elijah Millsap,2015,2017,G,6-Jun,78,225,12-Aug-87,University of Alabama at Birmingham
Paul Millsap,2007,2018,F,8-Jun,80,246,10-Feb-85,Louisiana Tech University
Harold Miner,1993,1996,G,5-Jun,77,210,5-May-71,University of Southern California
Yao Ming,2003,2011,C,6-Jul,90,310,12-Sep-80,
Dirk Minniefield,1986,1988,G,3-Jun,75,180,17-Jan-61,University of Kentucky
Greg Minor,1995,1999,G,6-Jun,78,210,18-Sep-71,University of Louisville
Nikola Mirotic,2015,2018,F,10-Jun,82,220,11-Feb-91,
Jason Miskiri,2000,2000,G,2-Jun,74,175,19-Aug-75,George Mason University
Donovan Mitchell,2018,2018,G,3-Jun,75,211,7-Sep-96,University of Louisville
Sam Mitchell,1990,2002,F,6-Jun,78,210,2-Sep-63,Mercer University
Todd Mitchell,1989,1989,F,7-Jun,79,205,26-Jul-66,Purdue University
Tony Mitchell,2014,2014,F,6-Jun,78,216,7-Aug-89,University of Alabama
Cuttino Mobley,1999,2009,G,4-Jun,76,190,1-Sep-75,University of Rhode Island
Eric Mobley,1995,1997,C,11-Jun,83,235,1-Feb-70,University of Pittsburgh
Nazr Mohammed,1999,2016,C,10-Jun,82,221,5-Sep-77,University of Kentucky
Jerome Moiso,2001,2005,F,10-Jun,82,235,15-Jun-78,"University of California, Los Angeles"
Paul Mokeski,1980,1991,C,Jul-00,84,250,3-Jan-57,University of Kansas
