Player,height,weight,born
Reggie Miller,201,183,1965
Andre Moore,206,214,1964
Ron Moore,213,258,1962
Ronnie Murphy,196,225,1964
Tod Murphy,206,218,1963
Martin Nessley,218,258,1965
Ken Norman,203,214,1964
Scottie Pippen,203,209,1965
Olden Polynice,211,218,1964
Richard Rellford,198,229,1964
Scott Roth,203,212,1963
Brian Rowsom,206,218,1965
Kenny Smith,190,170,1965
John Stroeder,208,258,1958
Mark Wade,180,159,1965
Milt Wagner,196,183,1963
Jamie Waller,193,214,1964
Duane Washington,193,194,1964
Chris Welp,213,245,1964
Clinton Wheeler,185,183,1959
Eric White,203,198,1965
Tony White,188,170,1965
Reggie Williams,201,190,1964
Nikita Wilson,203,198,1964
Ricky Wilson,196,198,1956
Rickie Winslow,203,225,1964
Joe Wolf,211,229,1964
Phil Zevenbergen,208,229,1964
Randy Allen,203,218,1965
Michael Anderson,180,183,1966
Willie Anderson,201,190,1967
Ricky Berry,203,203,1964
Anthony Bowie,198,190,1963
Scott Brooks,180,163,1965
Mark Bryant,206,245,1965
Greg Butler,211,238,1966
Mike Champion,208,229,1964
Rex Chapman,193,183,1967
Derrick Chievous,201,194,1967
Mark Davis,198,194,1963
Vinny Del,198,194,1963
Fennis Dembo,196,214,1966
Ledell Eackles,196,218,1966
Kevin Edwards,190,190,1965
Wayne Englestad,203,245,1966
Rolando Ferreira,216,238,1964
Duane Ferrell,201,207,1965
Anthony Frederick,201,203,1964
Corey Gaines,190,194,1965
Tom Garrick,188,183,1966
Ben Gillery,213,234,1965
Orlando Graham,203,218,1965
Ron Grandison,198,214,1964
Gary Grant,190,183,1965
Harvey Grant,203,194,1965
Sylvester Gray,198,229,1967
Jeff Grayer,196,198,1965
Jack Haley,208,238,1964
Hersey Hawkins,190,190,1966
Tito Horford,216,245,1966
Avery Johnson,178,174,1965
Bill Jones,201,174,1966
Shelton Jones,206,209,1966
Steve Kerr,190,174,1965
Randolph Keys,201,194,1966
Jerome Lane,198,229,1966
Andrew Lang,211,245,1966
Eric Leckner,211,265,1966
Jim Les,180,163,1963
Rob Lock,206,225,1966
Grant Long,203,225,1966
Dan Majerle,198,214,1965
Danny Manning,208,229,1966
Vernon Maxwell,193,179,1965
Todd Mitchell,201,203,1966
Chris Morris,203,209,1966
Richard Morton,190,190,1966
Craig Neal,196,163,1964
Jose Ortiz,208,225,1963
Will Perdue,213,238,1965
Tim Perry,206,198,1965
Dave Popson,208,218,1964
Dominic Pressley,188,170,1964
Mitch Richmond,196,214,1965
Ramon Rivas,208,258,1966
David Rivers,183,170,1965
Rob Rose,196,179,1964
Jim Rowinski,203,249,1961
Rony Seikaly,211,229,1965
Charles Shackleford,208,225,1966
John Shasky,211,234,1964
Brian Shaw,198,190,1966
Keith Smart,185,174,1964
Charles Smith,208,229,1965
Rik Smits,224,249,1966
John Starks,190,179,1965
Everette Stephens,188,174,1966
Rod Strickland,196,198,1940
Barry Sumpter,211,214,1965
Anthony Taylor,193,174,1965
Tom Tolbert,201,234,1965
Kelvin Upshaw,188,179,1963
Morlon Wiley,193,183,1966
Micheal Williams,188,181,1945
David Wood,206,225,1964
Nick Anderson,198,203,1968
Michael Ansley,201,225,1967
B.J. Armstrong,201,225,1967
Dana Barros,180,161,1967
Kenny Battle,198,209,1964
Winston Bennett,201,209,1965
Mookie Blaylock,183,179,1967
Chucky Brown,201,214,1968
Raymond Brown,203,218,1965
Stanley Brundy,198,209,1967
Torgeir Bryn,206,249,1964
Steve Bucknall,198,214,1966
Adrian Caldwell,203,265,1966
Lanard Copeland,198,190,1965
Terry Davis,206,225,1967
Byron Dinkins,185,170,1967
Vlade Divac,216,243,1968
Sherman Douglas,183,179,1966
Terry Dozier,206,209,1966
Blue Edwards,193,198,1965
Jay Edwards,213,225,1955
Sean Elliott,203,203,1968
Pervis Ellison,206,209,1967
Derrick Gervin,203,198,1963
Greg Grant,170,139,1966
Scott Haffner,190,179,1966
Tom Hammonds,206,214,1967
Tim Hardaway,183,174,1966
Mike Higgins,206,218,1967
Ed Horton,203,229,1967
Byron Irvin,196,190,1966
Jaren Jackson,193,190,1967
Eric Johnson,188,203,1966
Nate Johnston,203,209,1966
Shawn Kemp,208,229,1969
Stan Kimbrough,180,152,1966
Stacey King,211,229,1967
Frank Kornet,206,225,1967
Jeff Lebo,188,179,1966
Tim Legler,193,198,1966
Gary Leonard,216,249,1967
Clifford Lett,190,170,1965
Todd Lichti,193,203,1967
Roy Marble,198,190,1966
Sarunas Marciulionis,196,198,1964
Jeff Martin,196,194,1967
Anthony Mason,201,249,1966
Bob McCann,198,243,1964
Mel McCants,203,238,1967
George McCloud,198,203,1967
Carlton McKinney,193,190,1964
Scott Meents,208,225,1964
Sam Mitchell,198,209,1963
Mike Morrison,193,194,1967
John Morton,190,179,1967
Dyron Nix,201,209,1967
Zarko Paspalj,206,214,1966
Kenny Payne,203,194,1966
Drazen Petrovic,196,194,1964
Brian Quinnett,203,234,1966
J.R. Reid,203,234,1966
Glen Rice,201,214,1967
Pooh Richardson,185,179,1966
Clifford Robinson,206,218,1960
David Robinson,216,234,1965
Doug Roth,211,254,1967
Donald Royal,203,209,1966
Delaney Rudd,188,179,1962
Jeff Sanders,203,225,1966
Dexter Shouse,188,198,1963
Michael Smith,208,225,1965
Jay Taylor,190,190,1967
Leonard Taylor,203,218,1966
Henry Turner,188,194,1938
Gary Voce,206,238,1965
Alexander Volkov,208,216,1964
Doug West,198,198,1967
Randy White,203,238,1967
Mike Williams,188,181,1945
Haywoode Workman,188,179,1966
Alaa Abdelnaby,208,238,1968
Mahmoud Abdul-Rauf,188,183,1942
Keith Askins,201,196,1967
Milos Babic,213,238,1968
Cedric Ball,203,209,1968
Lance Blanks,193,190,1966
Anthony Bonner,203,214,1968
Dee Brown,185,159,1968
Jud Buechler,198,218,1968
Matt Bullard,208,214,1967
Willie Burton,203,209,1968
Rick Calloway,198,179,1966
Elden Campbell,211,214,1968
Duane Causwell,213,238,1968
Cedric Ceballos,198,190,1969
Richard Coffey,198,212,1965
Derrick Coleman,208,229,1967
Bimbo Coles,185,179,1968
Anthony Cook,206,203,1967
Tony Dawson,201,214,1967
Mario Elie,196,209,1963
A.J. English,196,209,1963
Danny Ferry,208,229,1966
Greg Foster,211,238,1968
Tate George,196,190,1968
Kendall Gill,196,194,1968
Gerald Glass,196,220,1967
Dan Godfread,208,249,1967
Jim Grandholm,213,234,1960
Tony Harris,190,190,1967
Steve Henson,180,176,1968
Sean Higgins,206,203,1968
Tyrone Hill,206,238,1968
Dave Jamerson,196,190,1967
Henry James,203,218,1965
Les Jepsen,213,236,1967
Alec Kessler,211,229,1967
Bo Kimble,193,190,1966
Negele Knight,185,174,1967
Kurk Lee,190,190,1967
Marcus Liberty,203,203,1968
Ian Lockhart,203,238,1967
Tony Massenburg,206,218,1967
Travis Mays,188,190,1968
Terry Mills,208,229,1967
Chris Munk,206,225,1967
Jerrod Mustaf,208,236,1969
Dan O'Sullivan,208,249,1968
Alan Ogg,218,238,1967
Brian Oliver,193,209,1968
Gerald Paddio,201,203,1965
Walter Palmer,216,214,1968
Kevin Pritchard,190,179,1967
Larry Robinson,190,179,1968
Rumeal Robinson,188,194,1966
Steve Scheffler,206,249,1967
Dwayne Schintzius,216,258,1968
Dennis Scott,203,227,1968
Lionel Simmons,201,209,1968
Tony Smith,201,209,1968
Felton Spencer,213,265,1968
Irving Thomas,203,225,1966
Andy Toolson,198,209,1966
Loy Vaught,206,229,1968
Stojko Vrankovic,218,258,1964
Jayson Williams,206,238,1968
Kenny Williams,188,174,1961
Scott Williams,208,229,1968
Trevor Wilson,201,209,1968
Kennard Winchester,196,209,1966
Howard Wright,190,183,1947
A.J. Wynder,190,183,1947
Victor Alexander,206,265,1969
Kenny Anderson,183,168,1970
Greg Anthony,183,174,1967
Stacey Augmon,203,203,1968
Isaac Austin,208,254,1969
Steve Bardo,196,190,1968
David Benoit,203,218,1968
Terrell Brandon,180,179,1970
Kevin Brooks,198,198,1969
Myron Brown,190,179,1969
Randy Brown,203,218,1965
Demetrius Calip,185,163,1969
Pete Chilcutt,208,229,1968
Marty Conlon,208,223,1968
Tom Copa,208,273,1964
Chris Corchiani,183,183,1968
Corey Crowder,196,214,1969
Dale Davis,211,229,1969
Bison Dele,206,234,1969
Patrick Eddie,211,238,1967
LeRon Ellis,208,209,1940
Rick Fox,201,229,1969
Chris Gatling,208,218,1967
Paul Graham,198,198,1967
Sean Green,196,209,1970
Carl Herrera,206,214,1966
Donald Hodge,213,229,1969
Brian Howard,198,203,1967
Cedric Hunter,183,179,1965
Mike Iuzzolino,178,174,1968
Rich King,218,258,1969
Doug Lee,196,198,1964
Luc Longley,218,265,1969
Kevin Lynch,196,194,1968
Mark Macon,196,183,1969
Tharon Mayes,190,174,1968
Rodney Monroe,190,183,1968
Tracy Moore,193,198,1965
Eric Murdock,185,190,1968
Dikembe Mutombo,218,245,1966
Jimmy Oliver,196,203,1969
Billy Owens,203,218,1969
Keith Owens,201,225,1969
Robert Pack,188,179,1969
Elliot Perry,183,150,1969
Bobby Phills,196,209,1969
Mark Randall,203,234,1967
Stanley Roberts,213,284,1970
Doug Smith,188,190,1920
LaBradford Smith,203,214,1958
Steve Smith,201,198,1969
Larry Stewart,203,218,1968
Derek Strong,203,218,1968
Lamont Strothers,193,190,1968
Greg Sutton,188,170,1967
Carl Thomas,193,174,1969
Charles Thomas,190,174,1969
Stephen Thompson,193,183,1968
John Turner,203,245,1967
Joao Vianna,206,214,1966
Eric Anderson,206,218,1970
Anthony Avent,206,234,1969
Jon Barry,193,194,1969
Tony Bennett,183,174,1969
Alex Blackwell,198,249,1970
Ricky Blanton,201,214,1966
Walter Bond,196,198,1969
Dexter Cambridge,201,223,1970
Doug Christie,198,198,1970
Duane Cooper,185,183,1969
Joe Courtney,203,234,1969
John Crotty,185,183,1969
Radisav Curcic,208,273,1965
Lloyd Daniels,201,203,1967
Hubert Davis,196,183,1970
Todd Day,198,187,1970
Richard Dumas,190,170,1970
Pat Durham,201,209,1967
LaPhonso Ellis,203,238,1970
Matt Geiger,213,243,1969
Litterial Green,185,183,1970
Tom Gugliotta,208,238,1969
Jay Guidinger,208,254,1969
Robert Horry,206,218,1970
Byron Houston,196,249,1969
Stephen Howard,206,225,1970
Jim Jackson,198,218,1970
Keith Jennings,170,159,1968
Dave Johnson,201,209,1970
Thomas Jordan,208,218,1968
Adam Keefe,206,229,1970
Christian Laettner,211,234,1969
Sam Mack,201,218,1970
Don MacLean,208,234,1970
Marlon Maxey,203,249,1969
Lee Mayberry,185,172,1970
Oliver Miller,206,280,1970
Harold Miner,196,209,1971
Isaiah Morris,203,227,1969
Alonzo Mourning,208,238,1970
Tracy Murray,201,225,1971
Melvin Newbern,193,198,1967
Shaquille O'Neal,216,324,1972
Matt Othick,188,163,1969
Doug Overton,190,190,1969
Anthony Peeler,193,207,1969
Brent Price,185,163,1968
Anthony Pullard,208,245,1966
Sean Rooks,208,249,1969
Malik Sealy,203,190,1970
Chris Smith,208,229,1965
Reggie Smith,208,238,1970
Andre Spencer,198,209,1964
Elmore Spencer,213,269,1969
Latrell Sprewell,196,190,1970
Barry Stevens,196,194,1963
Bryant Stith,196,207,1970
Gundars Vetra,198,194,1967
Clarence Weatherspoon,198,238,1970
Marcus Webb,206,254,1970
Robert Werdann,211,249,1970
Corey Williams,188,190,1970
Lorenzo Williams,206,198,1969
Walt Williams,193,194,1923
Randy Woods,178,183,1970
Gary Alexander,201,238,1969
Vin Baker,211,231,1971
Corie Blount,206,238,1969
Shawn Bradley,229,234,1972
P.J. Brown,229,234,1972
Evers Burns,203,258,1971
Scott Burrell,201,216,1971
Mitchell Butler,188,170,1946
Sam Cassell,190,183,1969
Calbert Cheaney,201,207,1971
Michael Curry,196,209,1968
Antonio Davis,206,214,1968
Brian Davis,190,179,1955
Terry Dehere,188,190,1971
Dell Demps,190,203,1970
Acie Earl,208,238,1970
Bill Edwards,203,214,1971
Doug Edwards,201,218,1971
Harold Ellis,196,198,1970
Alphonso Ford,185,190,1971
Chad Gallagher,208,254,1969
Andrew Gaze,201,203,1965
Ricky Grace,185,179,1967
Greg Graham,193,172,1970
Josh Grant,206,223,1967
Andres Guibert,208,225,1968
Geert Hammink,213,260,1969
Anfernee Hardaway,201,194,1971
Lucious Harris,196,190,1970
Antonio Harvey,211,225,1970
Scott Haskin,211,249,1970
Skeeter Henry,201,190,1967
Allan Houston,198,198,1971
Lindsey Hunter,188,170,1970
Bobby Hurley,183,163,1971
Stanley Jackson,190,183,1970
Chris Jent,201,218,1970
Ervin Johnson,188,203,1966
Popeye Jones,203,249,1970
Adonis Jordan,180,170,1970
Reggie Jordan,193,194,1968
Warren Kidd,206,234,1970
Chris King,203,214,1969
Toni Kukoc,208,192,1968
George Lynch,203,216,1970
Malcolm Mackey,206,247,1970
Gerald Madkins,193,198,1969
Bob Martin,213,249,1969
Jamal Mashburn,203,238,1972
Darnell Mee,196,174,1971
Chris Mills,198,214,1970
Darren Morningstar,208,234,1969
Gheorghe Muresan,231,302,1971
Bo Outlaw,203,209,1971
Mike Peplowski,208,269,1970
Richard Petruska,208,258,1969
Dino Radja,211,225,1967
Isaiah Rider,196,214,1971
Eric Riley,213,245,1970
James Robinson,198,209,1955
Rodney Rogers,201,234,1971
Bryon Russell,201,225,1970
Kevin Thompson,211,258,1971
Keith Tower,211,249,1970
Nick Van,211,249,1970
Rex Walters,193,190,1970
Chris Webber,206,245,1973
Matt Wenstrom,216,249,1970
David Wesley,183,190,1970
Chris Whitney,183,168,1971
Aaron Williams,206,218,1971
Luther Wright,218,269,1971
Derrick Alston,211,225,1972
Darrell Armstrong,183,170,1968
Sergei Bazarevich,188,168,1965
Elmer Bennett,183,170,1970
James Blackwell,183,190,1968
Tim Breaux,201,214,1970
Chris Childs,190,194,1967
Bill Curley,206,218,1972
Yinka Dare,213,265,1972
Tony Dumas,198,190,1972
Howard Eisley,188,176,1972
Matt Fish,211,234,1969
Brian Grant,206,254,1972
Darrin Hancock,201,203,1971
Jerome Harmon,193,190,1969
Grant Hill,203,225,1972
Tom Hovasse,203,203,1967
Juwan Howard,206,238,1973
Askia Jones,196,198,1971
Eddie Jones,208,225,1956
Jason Kidd,193,203,1973
Antonio Lang,211,245,1966
Ryan Lorthridge,193,190,1972
Donyell Marshall,206,216,1973
Darrick Martin,180,170,1971
Jim McIlvaine,216,238,1972
Aaron McKie,196,207,1972
Anthony Miller,206,225,1971
Greg Minor,198,209,1971
Eric Mobley,211,234,1970
Eric Montross,213,269,1971
Dwayne Morton,201,194,1971
Lamond Murray,201,236,1973
Ivano Newbill,206,245,1970
Julius Nwosu,208,254,1971
Wesley Person,198,194,1971
Derrick Phelps,193,181,1972
Eric Piatkowski,201,214,1970
Eldridge Recasner,190,190,1967
Khalid Reeves,190,198,1972
Glenn Robinson,201,225,1973
Carlos Rogers,211,218,1971
Jalen Rose,203,209,1973
Clifford Rozier,211,245,1972
Trevor Ruffin,185,183,1970
Dickey Simpkins,206,247,1972
Reggie Slater,201,214,1970
Mark Strickland,206,209,1970
Aaron Swinson,196,229,1971
Zan Tabak,213,245,1970
Brooks Thompson,193,192,1970
Anthony Tucker,203,218,1969
B.J. Tyler,203,218,1969
Fred Vinson,193,190,1971
Charlie Ward,188,190,1970
Jamie Watson,201,190,1972
Monty Williams,203,225,1971
Dontonio Wingfield,203,256,1974
Sharone Wright,211,258,1973
Cory Alexander,185,183,1973
Jerome Allen,193,183,1973
John Amaechi,208,269,1970
Ashraf Amaya,203,229,1971
Brent Barry,198,183,1971
Corey Beck,185,190,1971
Mario Bennett,198,234,1973
Travis Best,180,181,1972
Melvin Booker,185,183,1972
Donnie Boyce,196,194,1973
Marques Bragg,203,229,1970
Junior Burrough,203,240,1973
Jason Caffey,203,254,1973
Chris Carr,196,205,1974
Randolph Childress,188,187,1972
Robert Churchwell,198,194,1972
Charles Claxton,213,265,1970
John Coker,213,251,1971
Rastko Cvetkovic,216,258,1970
Sasha Danilovic,196,198,1970
Andrew DeClercq,208,229,1973
Tyus Edney,178,150,1973
Vincenzo Esposito,190,196,1969
Michael Finley,201,214,1973
Sherell Ford,201,209,1972
Kevin Garnett,211,238,1976
Anthony Goldwire,185,181,1971
Thomas Hamilton,218,328,1975
Alvin Heggs,203,225,1967
Alan Henderson,206,234,1972
Fred Hoiberg,193,203,1972
Darryl Johnson,201,209,1970
Frankie King,185,183,1972
Jimmy King,188,174,1941
Voshon Lenard,193,203,1973
Cedric Lewis,208,234,1969
Martin Lewis,196,209,1975
Rich Manning,211,251,1970
Donny Marshall,206,216,1973
Cuonzo Martin,196,212,1971
Clint McDaniel,193,179,1972
Antonio McDyess,206,218,1974
Loren Meyer,208,256,1972
Lawrence Moten,196,183,1972
Todd Mundt,213,249,1970
Howard Nathan,180,174,1972
Ed O'Bannon,203,220,1972
Greg Ostertag,218,280,1973
Cherokee Parks,196,209,1973
Theo Ratliff,208,225,1973
Bryant Reeves,213,273,1973
Don Reid,203,249,1973
Terrence Rencher,190,183,1973
Shawn Respert,185,194,1972
Lou Roe,201,218,1972
Stefano Rusconi,206,238,1968
Arvydas Sabonis,221,278,1964
Joe Smith,213,234,1944
Eric Snow,190,190,1973
Jerry Stackhouse,198,216,1974
Damon Stoudamire,178,170,1973
Bob Sura,196,198,1973
Larry Sykes,206,254,1973
Kurt Thomas,206,229,1972
Gary Trent,203,249,1974
Logan Vander,203,214,1971
David Vaughn,211,218,1952
Rasheed Wallace,208,225,1974
Jeff Webster,203,231,1971
Dwayne Whitfield,206,238,1972
Eric Williams,203,218,1972
Corliss Williamson,188,190,1970
George Zidek,213,249,1973
Shareef Abdur-Rahim,206,225,1976
Ray Allen,203,218,1965
Shandon Anderson,198,207,1973
Dexter Boney,193,183,1970
Bruce Bowen,201,183,1971
Mark Bradtke,208,265,1968
Marcus Brown,190,183,1974
Kobe Bryant,198,212,1978
Marcus Camby,211,218,1974
Jimmy Carruth,208,265,1969
Erick Dampier,211,265,1975
Ben Davis,206,238,1972
Emanual Davis,193,194,1968
Tony Delk,185,187,1974
Aleksandar Djordjevic,188,196,1967
Nate Driggers,196,214,1973
Brian Evans,203,218,1973
Jamie Feick,206,254,1974
Derek Fisher,185,198,1974
Todd Fuller,193,179,1958
Dean Garrett,208,225,1966
Reggie Geary,188,185,1973
Devin Gray,201,238,1972
Evric Gray,201,234,1969
Darvin Ham,201,218,1973
Steve Hamer,213,245,1973
Othella Harrington,206,234,1974
Michael Hawkins,183,176,1972
Shane Heal,183,179,1970
Mark Hendrickson,206,218,1974
Allen Iverson,183,163,1975
Kerry Kittles,196,179,1974
Travis Knight,213,234,1974
Priest Lauderdale,224,324,1973
Randy Livingston,193,207,1975
Horacio Llamas,211,284,1973
Matt Maloney,190,192,1971
Stephon Marbury,188,179,1977
Walter McCarty,208,229,1974
Amal McCaskill,211,234,1973
Jeff McInnis,193,190,1974
Martin Muursepp,206,234,1974
Steve Nash,190,194,1974
Ruben Nembhard,190,207,1972
Gaylon Nickerson,190,190,1969
Moochie Norris,185,174,1973
Jermaine O'Neal,211,225,1978
Ray Owes,206,223,1972
Vitaly Potapenko,208,280,1975
Chris Robinson,196,198,1974
Roy Rogers,201,234,1971
Malik Rose,201,249,1974
Kevin Salvadori,213,229,1970
Jason Sasser,201,225,1974
Brent Scott,208,249,1971
James Scott,198,179,1972
Shawnelle Scott,208,249,1972
Stevin Smith,201,198,1969
Matt Steigenga,201,225,1970
Joe Stephens,201,209,1973
Erick Strickland,190,209,1973
Brett Szabo,211,229,1968
Antoine Walker,193,190,1955
Samaki Walker,206,238,1976
Ben Wallace,206,238,1974
John Wallace,203,225,1974
Donald Whiteside,178,159,1969
Jerome Williams,206,205,1973
Lorenzen Wright,188,203,1945
Tariq Abdul-Wahad,198,223,1974
Derek Anderson,196,192,1974
Chris Anstey,213,247,1975
Drew Barry,196,190,1973
Tony Battie,211,229,1976
Chauncey Billups,190,201,1976
Etdrick Bohannon,206,218,1973
Keith Booth,198,225,1974
Rick Brunson,193,190,1972
Kelvin Cato,211,254,1974
Keith Closs,221,212,1976
James Collins,193,194,1973
James Cotton,201,198,1924
Chris Crawford,206,234,1975
Austin Croshere,206,234,1975
William Cunningham,211,249,1974
Antonio Daniels,193,194,1975
Tim Duncan,211,249,1976
Tony Farmer,206,243,1970
Danny Fortson,201,258,1976
Adonal Foyle,208,249,1975
Lawrence Funderburke,206,229,1970
Chris Garner,178,154,1975
Kiwane Garris,188,183,1974
Ed Gray,190,209,1975
Derek Grimm,206,229,1974
Reggie Hanson,203,194,1968
Jerald Honeycutt,206,245,1974
Troy Hudson,185,170,1976
Zydrunas Ilgauskas,221,236,1975
Bobby Jackson,185,183,1973
Anthony Johnson,196,214,1932
Dontae' Jones,203,218,1975
Brevin Knight,178,172,1975
Rusty LaRue,188,209,1973
Jason Lawson,211,238,1974
Michael McDonald,208,231,1969
Tracy McGrady,203,209,1979
Ron Mercer,201,209,1976
Marko Milic,198,234,1977
Jeff Nordgaard,201,225,1973
Charles O'Bannon,196,207,1975
Kevin Ollie,193,194,1972
Anthony Parker,198,214,1975
Scot Pollard,211,265,1975
Mark Pope,208,234,1972
Rodrick Rhodes,198,225,1973
Shea Seals,196,209,1975
God Shammgod,183,168,1976
Kebu Stewart,203,238,1973
Michael Stewart,208,229,1975
Ed Stokes,213,262,1971
Johnny Taylor,206,218,1974
Maurice Taylor,206,258,1976
John Thomas,198,203,1948
Tim Thomas,208,229,1977
Keith Van,208,229,1977
Jacque Vaughn,185,190,1975
Eric Washington,193,190,1974
Bubba Wells,196,229,1974
DeJuan Wheat,183,163,1973
Alvin Williams,198,198,1948
Brandon Williams,198,214,1975
Travis Williams,198,214,1969
Peter Aluma,208,258,1973
Toby Bailey,198,212,1975
LaMark Baker,185,174,1969
Corey Benjamin,198,198,1978
Mike Bibby,185,190,1978
Earl Boykins,165,134,1976
Gerald Brown,198,190,1935
Cory Carr,190,209,1975
Vince Carter,198,218,1977
Keon Clark,211,218,1975
Kornel David,206,234,1971
Ricky Davis,198,194,1979
Michael Dickerson,196,190,1975
Michael Doleac,211,260,1977
Bryce Drew,188,183,1974
Marlon Garnett,188,185,1975
Pat Garrity,206,236,1976
Paul Grant,213,245,1974
Matt Harpring,201,229,1976
Al Harrington,206,229,1980
J.R. Henderson,206,229,1980
Larry Hughes,196,183,1979
Randell Jackson,188,190,1962
Sam Jacobson,193,214,1975
Jerome James,213,300,1975
Antawn Jamison,203,223,1976
Damon Jones,190,183,1976
Jonathan Kerner,211,245,1974
Gerard King,183,174,1928
Raef LaFrentz,211,238,1976
Rashard Lewis,198,198,1963
Felipe Lopez,196,198,1974
Tyronn Lue,183,174,1977
Sean Marks,208,249,1975
Kelly McCarty,201,198,1975
Jelani McCoy,208,245,1977
Roshown McLeod,203,220,1975
Brad Miller,211,243,1976
Cuttino Mobley,193,190,1975
Nazr Mohammed,208,220,1977
Mikki Moore,211,225,1975
Makhtar N'Diaye,203,245,1973
Tyrone Nesby,198,225,1976
Rasho Nesterovic,213,247,1976
Dirk Nowitzki,213,245,1978
Michael Olowokandi,213,269,1975
Andrae Patterson,206,236,1975
Ruben Patterson,196,223,1975
Paul Pierce,201,234,1977
Casey Shaw,211,258,1975
Jeffrey Sheppard,190,190,1974
Miles Simon,190,201,1975
Alvin Sims,193,234,1974
Brian Skinner,206,254,1976
Ryan Stack,211,214,1975
Vladimir Stepania,213,236,1976
Peja Stojakovic,206,218,1977
Bruno Sundov,218,218,1980
Robert Traylor,203,282,1977
Bonzi Wells,196,209,1976
Tyson Wheeler,178,163,1975
Jahidi White,206,289,1976
Jason Williams,206,238,1968
Shammond Williams,185,201,1975
Trevor Winter,213,273,1974
Korleone Young,201,212,1978
Rafer Alston,188,170,1976
Chucky Atkins,180,159,1974
William Avery,188,196,1979
Jonathan Bender,211,201,1981
Calvin Booth,211,229,1976
Lazaro Borrell,203,218,1972
Cal Bowdler,208,245,1977
Ryan Bowen,201,214,1975
Ira Bowman,196,194,1973
A.J. Bramlett,196,194,1973
Elton Brand,203,273,1979
Greg Buckner,193,209,1976
Rodney Buford,196,187,1977
Anthony Carter,185,190,1975
John Celestand,193,176,1977
Vonteego Cummings,190,183,1976
Baron Davis,190,207,1979
Derrick Dial,193,183,1975
Obinna Ekezie,206,269,1975
Evan Eschmeyer,211,254,1975
Jeff Foster,211,236,1977
Steve Francis,190,194,1977
Devean George,203,218,1977
Dion Glover,196,227,1978
Adrian Griffin,196,216,1974
Richard Hamilton,198,183,1978
Chris Herren,188,196,1975
Derek Hood,203,220,1976
Rick Hughes,196,214,1962
Jermaine Jackson,193,203,1976
Tim James,201,212,1976
Harold Jamison,203,258,1976
DeMarco Johnson,193,183,1954
Jumaine Jones,203,216,1979
Lari Ketner,206,276,1977
Trajan Langdon,190,196,1976
Quincy Lewis,201,214,1977
Todd MacCulloch,213,280,1976
Corey Maggette,198,216,1979
Shawn Marion,201,218,1978
Andre Miller,206,225,1971
Jason Miskiri,188,174,1975
Lamar Odom,208,218,1979
Scott Padgett,206,238,1976
Milt Palacio,190,194,1978
James Posey,203,214,1977
Laron Profit,196,203,1977
Aleksandar Radojevic,221,249,1976
Ryan Robertson,196,190,1976
Eddie Robinson,203,209,1976
Michael Ruffin,206,245,1977
Wally Szczerbiak,198,209,1949
Jason Terry,188,183,1977
Jamel Thomas,198,214,1973
Kenny Thomas,201,260,1977
Mirsad Turkcan,206,236,1976
Wayne Turner,188,190,1976
Dedric Willoughby,190,179,1974
Metta World,190,179,1974
Tim Young,213,218,1976
Courtney Alexander,185,183,1973
Dalibor Bagaric,216,254,1980
Erick Barkley,185,176,1978
Raja Bell,196,203,1976
Mark Blount,213,229,1975
Brian Cardinal,203,245,1977
Mateen Cleaves,188,203,1977
Jason Collier,193,194,1973
Sean Colson,183,174,1975
Jamal Crawford,196,198,1980
Keyon Dooling,190,194,1980
Khalid El-Amin,178,198,1979
Marcus Fizer,206,260,1978
Ruben Garces,206,245,1973
Eddie Gill,183,190,1978
Steve Goodrich,208,218,1976
A.J. Guyton,208,218,1976
Zendon Hamilton,211,249,1975
Jason Hart,190,183,1978
Donnell Harvey,203,218,1980
Eddie House,185,179,1978
Marc Jackson,185,179,1965
Stephen Jackson,190,183,1970
DerMarr Johnson,193,183,1954
Garth Joseph,218,313,1973
Dan Langhi,211,218,1977
Art Long,206,249,1972
Mark Madsen,206,238,1976
Jamaal Magloire,211,258,1978
Kenyon Martin,206,234,1977
Desmond Mason,201,223,1977
Dan McClintock,213,269,1977
Paul McPherson,193,209,1978
Stanislav Medvedenko,208,249,1979
Chris Mihm,213,265,1979
Darius Miles,206,209,1981
Mike Miller,203,216,1980
Jerome Moiso,208,234,1978
Hanno Mottola,211,247,1976
Mamadou N'Diaye,203,245,1973
Lee Nailon,206,236,1975
Eduardo Najera,203,238,1976
Ira Newble,201,218,1975
Olumide Oyedeji,208,238,1981
Andy Panko,206,220,1977
Mike Penberthy,190,183,1974
Morris Peterson,201,216,1977
Chris Porter,201,216,1978
Lavor Postell,196,214,1978
Joel Przybilla,216,254,1979
Michael Redd,198,218,1979
Quentin Richardson,198,223,1980
Terrance Roberson,201,214,1976
Jamal Robinson,198,209,1955
Soumaila Samake,213,229,1978
Pepe Sanchez,193,194,1977
Daniel Santiago,216,256,1976
Jabari Smith,211,249,1977
Mike Smith,208,225,1965
DeShawn Stevenson,196,209,1981
Stromile Swift,206,225,1979
Dragan Tarlac,208,258,1973
Jake Tsakalidis,218,284,1979
Hedo Turkoglu,208,218,1979
David Vanterpool,196,198,1973
Jake Voskuhl,211,245,1977
Ruben Wolkowyski,208,269,1973
Wang Zhizhi,213,254,1977
Malik Allen,208,254,1978
Chris Andersen,208,245,1978
Gilbert Arenas,190,190,1982
